Player,Team,Pos,Games,Exp PPG,PPR,HPPR,Std,1.5 TE,6 Pt Pass,DK
Bijan Robinson,ATL,RB,1,20.02,24.5,22.2,20.1,24.5,24.5,24.5
Jahmyr Gibbs,DET,RB,1,16.865,22.2,20,18,22.2,22.2,22.2
Christian McCaffrey,SF,RB,1,23.345,21.7,18.9,16.4,21.7,21.7,21.7
CeeDee Lamb,DAL,WR,1,19.555,23.4,19.3,15.8,23.4,23.4,23.4
Saquon Barkley,PHI,RB,1,17.785,19,17.9,16.9,19,19,19
Puka Nacua,LA,WR,1,17.725,21.9,17.9,14.5,21.9,21.9,21.9
Malik Nabers,NYG,WR,1,23.41,20.6,16.7,13.4,20.6,20.6,20.6
Ja'Marr Chase,CIN,WR,1,18.275,19.6,16.2,13.2,19.6,19.6,19.6
Amon-Ra St. Brown,DET,WR,1,19.29,19.2,15.6,12.5,19.2,19.2,19.2
Derrick Henry,BAL,RB,1,9.385,17.5,17,16.5,17.5,17.5,17.5
Jonathan Taylor,IND,RB,1,18.65,17,16.2,15.4,17,17,17
Josh Jacobs,GB,RB,1,14.59,16.6,15.7,14.8,16.6,16.6,16.6
Nico Collins,HOU,WR,1,14.405,17.6,14.9,12.6,17.6,17.6,17.6
Justin Jefferson,MIN,WR,1,12.42,17.2,14.6,12.3,17.2,17.2,17.2
Drake London,ATL,WR,1,17.35,17.3,14.2,11.6,17.3,17.3,17.3
De'Von Achane,MIA,RB,1,14.705,17.2,14.9,12.8,17.2,17.2,17.2
Ashton Jeanty,LV,RB,1,11.915,15.8,14.5,13.3,15.8,15.8,15.8
Brock Bowers,LV,TE,1,12.79,17.5,14,11.1,19.2,17.5,17.5
Jaxon Smith-Njigba,SEA,WR,1,17.8,17.7,14.1,11.1,17.7,17.7,17.7
Brian Thomas Jr.,JAX,WR,1,20.315,16.2,13.7,11.6,16.2,16.2,16.2
Trey McBride,ARI,TE,1,13.545,16.2,12.8,10,18,16.2,16.2
Bucky Irving,TB,RB,1,15.22,15.8,14.2,12.7,15.8,15.8,15.8
Lamar Jackson,BAL,QB,1,20.015,23.4,23.4,23.4,23.4,27.5,23.4
Davante Adams,LA,WR,1,21.515,16.3,13.4,10.9,16.3,16.3,16.3
