Player Name,Team,Pos,Games,PPR,HPPR,Std,1.5 TE,6 Pt Pass,DK
Lamar Jackson,BAL,QB,1,21.99,21.98990588,21.99,21.99,25.82,22.74
Josh Allen,BUF,QB,1,21.88,21.87882353,21.88,21.88,25.56,22.67
Jayden Daniels,WAS,QB,1,21.80,21.7988,21.80,21.80,25.28,22.67
Jalen Hurts,PHI,QB,1,21.09,21.09341176,21.09,21.09,24.05,21.67
Joe Burrow,CIN,QB,1,20.67,20.66865882,20.67,20.67,25.45,21.90
Ja'Marr Chase,CIN,WR,1,20.09,16.73,13.37,20.09,20.09,21.37
Bijan Robinson,ATL,RB,1,18.77,17.04823529,15.32,18.77,18.77,19.76
Patrick Mahomes,KC,QB,1,18.38,18.38428235,18.38,18.38,21.83,19.43
Kyler Murray,ARI,QB,1,18.28,18.28218824,18.28,18.28,21.01,18.94
Baker Mayfield,TB,QB,1,18.28,18.27581176,18.28,18.28,22.29,19.21
Bo Nix,DEN,QB,1,18.24,18.24345882,18.24,18.24,21.74,18.84
Saquon Barkley,PHI,RB,1,18.20,17.28705882,16.38,18.20,18.20,19.66
CeeDee Lamb,DAL,WR,1,18.14,14.93529412,11.73,18.14,18.14,19.20
Justin Jefferson,MIN,WR,1,17.94,15.02058824,12.10,17.94,17.94,19.13
Caleb Williams,CHI,QB,1,17.71,17.70571765,17.71,17.71,20.80,18.69
Dak Prescott,DAL,QB,1,17.47,17.47124706,17.47,17.47,21.15,18.61
Jahmyr Gibbs,DET,RB,1,17.42,15.90117647,14.38,17.42,17.42,18.13
Justin Fields,NYJ,QB,1,17.33,17.32943529,17.33,17.33,19.61,17.81
Jared Goff,DET,QB,1,17.29,17.28757647,17.29,17.29,20.96,18.46
Brock Purdy,SF,QB,1,17.09,17.08887059,17.09,17.09,20.03,18.30
Malik Nabers,NYG,WR,1,17.05,13.78941176,10.53,17.05,17.05,17.99
Jordan Love,GB,QB,1,17.04,17.0376,17.04,17.04,20.54,17.93
Justin Herbert,LAC,QB,1,17.01,17.01035294,17.01,17.01,19.87,17.73
Christian McCaffrey,SF,RB,1,16.81,14.77470588,12.74,16.81,16.81,17.25
Amon-Ra St. Brown,DET,WR,1,16.72,13.51647059,10.31,16.72,16.72,17.50
Puka Nacua,LAR,WR,1,16.65,13.71529412,10.78,16.65,16.65,17.57
J.J. McCarthy,MIN,QB,1,16.59,16.58847059,16.59,16.59,20.16,17.35
Drake Maye,NE,QB,1,16.49,16.48503529,16.49,16.49,19.17,17.07
Trevor Lawrence,JAX,QB,1,16.27,16.26969412,16.27,16.27,19.07,17.14
CJ Stroud,HOU,QB,1,16.16,16.16338824,16.16,16.16,18.86,17.31
Nico Collins,HOU,WR,1,16.00,13.28823529,10.58,16.00,16.00,16.98
Ashton Jeanty,LVR,RB,1,15.92,14.58294118,13.24,15.92,15.92,16.84
Brian Thomas Jr.,JAX,WR,1,15.87,13.19529412,10.52,15.87,15.87,16.68
Bryce Young,CAR,QB,1,15.63,15.62767059,15.63,15.63,18.24,16.28
Matthew Stafford,LAR,QB,1,15.38,15.3808,15.38,15.38,18.47,16.36
Tua Tagovailoa,MIA,QB,1,15.27,15.26797647,15.27,15.27,18.55,16.03
Michael Penix Jr.,ATL,QB,1,15.00,14.99602353,15.00,15.00,17.87,15.70
Brock Bowers,LVR,TE,1,14.81,11.69647059,8.58,17.92,14.81,15.42
Geno Smith,LVR,QB,1,14.71,14.70644706,14.71,14.71,17.36,15.38
Drake London,ATL,WR,1,14.37,11.73647059,9.10,14.37,14.37,14.98
Ladd McConkey,LAC,WR,1,14.34,11.70882353,9.08,14.34,14.34,15.05
A.J. Brown,PHI,WR,1,14.33,11.94470588,9.56,14.33,14.33,15.06
Trey McBride,ARI,TE,1,14.20,11.12,8.04,17.28,14.20,14.75
Devon Achane,MIA,RB,1,14.19,12.45764706,10.72,14.19,14.19,14.49
Cam Ward,TEN,QB,1,14.07,14.06825882,14.07,14.07,16.58,14.53
Aaron Rodgers,PIT,QB,1,13.95,13.95491765,13.95,13.95,16.79,14.38
Derrick Henry,BAL,RB,1,13.78,13.33235294,12.88,13.78,13.78,14.54
Bucky Irving,TB,RB,1,13.63,12.38705882,11.15,13.63,13.63,14.16
Tyler Shough,NO,QB,1,13.50,13.50442353,13.50,13.50,15.95,14.13
Tee Higgins,CIN,WR,1,13.44,11.27352941,9.11,13.44,13.44,13.91
Rashee Rice,KC,WR,1,13.38,10.84823529,8.32,13.38,13.38,13.87
Garrett Wilson,NYJ,WR,1,13.37,10.89470588,8.42,13.37,13.37,13.87
Tyreek Hill,MIA,WR,1,13.34,11.08882353,8.83,13.34,13.34,13.80
Jaxon Smith-Njigba,SEA,WR,1,13.27,10.66705882,8.07,13.27,13.27,13.70
Marvin Harrison Jr.,ARI,WR,1,13.21,10.99529412,8.78,13.21,13.21,13.73
Sam Darnold,SEA,QB,1,13.13,13.13225882,13.13,13.13,15.64,13.42
Josh Jacobs,GB,RB,1,13.10,12.17588235,11.26,13.10,13.10,13.63
Anthony Richardson,IND,QB,1,13.03,13.028,13.03,13.03,15.05,13.19
Jonathan Taylor,IND,RB,1,12.94,12.43882353,11.93,12.94,12.94,13.75
Davante Adams,LAR,WR,1,12.91,10.54705882,8.19,12.91,12.91,13.36
Chase Brown,CIN,RB,1,12.88,11.79411765,10.71,12.88,12.88,13.32
Terry McLaurin,WAS,WR,1,12.83,10.68705882,8.54,12.83,12.83,13.29
Breece Hall,NYJ,RB,1,12.80,11.47294118,10.15,12.80,12.80,13.16
Daniel Jones,IND,QB,1,12.72,12.72094118,12.72,12.72,14.74,12.87
Alvin Kamara,NO,RB,1,12.60,10.96823529,9.33,12.60,12.60,12.84
DJ Moore,CHI,WR,1,12.51,10.23235294,7.95,12.51,12.51,12.92
Xavier Worthy,KC,WR,1,12.32,10.30588235,8.29,12.32,12.32,12.65
Mike Evans,TB,WR,1,12.30,10.43411765,8.57,12.30,12.30,12.64
James Cook,BUF,RB,1,12.29,11.38470588,10.48,12.29,12.29,12.70
DeVonta Smith,PHI,WR,1,12.21,9.992941176,7.78,12.21,12.21,12.63
Omarion Hampton,LAC,RB,1,12.18,11.24647059,10.31,12.18,12.18,12.61
Ken Walker,SEA,RB,1,12.18,11.09117647,10.01,12.18,12.18,12.52
Tetairoa McMillan,CAR,WR,1,12.14,9.964117647,7.79,12.14,12.14,12.55
Kyren Williams,LAR,RB,1,12.11,11.34588235,10.58,12.11,12.11,12.63
TreVeyon Henderson,NE,RB,1,12.10,10.95470588,9.80,12.10,12.10,12.49
DK Metcalf,PIT,WR,1,12.05,10.01176471,7.97,12.05,12.05,12.49
George Kittle,SF,TE,1,12.04,9.91,7.78,14.16,12.04,12.49
Chuba Hubbard,CAR,RB,1,12.02,10.99529412,9.97,12.02,12.02,12.42
