"Player","Position","Team","1 QB","TEP","SF TEP","SF"
"Ja'Marr Chase","WR","CIN","100","100","84","84"
"Justin Jefferson","WR","MIN","97","97","79","79"
"Malik Nabers","WR","NYG","94","94","71","71"
"Brian Thomas","WR","JAX","91","91","68","70"
"Ashton Jeanty","RB","LVR","89","89","65","66"
"2025 Rookie Pick 1","Draft","Pick","89","89","63","65"
"Amon-Ra St. Brown","WR","DET","86","86","63","65"
"CeeDee Lamb","WR","DAL","84","84","60","62"
"Jahmyr Gibbs","RB","DET","82","82","58","59"
"Bijan Robinson","RB","ATL","79","79","56","57"
"Nico Collins","WR","HOU","77","77","52","53"
"Puka Nacua","WR","LAR","75","75","51","52"
"Marvin Harrison Jr.","WR","ARI","73","71","49","50"
"Drake London","WR","ATL","71","70","50","51"
"Ladd McConkey","WR","LAC","70","68","48","49"
"Jaxon Smith-Njigba","WR","SEA","68","66","47","48"
"Garrett Wilson","WR","NYJ","66","63","46","47"
"Brock Bowers","TE","LVR","65","73","70","54"
"Devon Achane","RB","MIA","63","62","44","45"
"Omarion Hampton","RB","LAC","62","60","45","46"
"2025 Rookie Pick 2","Draft","Pick","62","60","44","45"
"A.J. Brown","WR","PHI","60","59","42","42"
"Travis Hunter","WR","JAX","59","58","41","41"
"2025 Rookie Pick 3","Draft","Pick","59","58","41","41"
"Tetairoa McMillan","WR","CAR","58","57","41","41"
"2025 Rookie Pick 4","Draft","Pick","58","57","40","40"
"Trey McBride","TE","ARI","57","65","53","44"
"Breece Hall","RB","NYJ","56","56","38","38"
"Xavier Worthy","WR","KC","54","54","40","40"
"TreVeyon Henderson","RB","NE","53","53","36","36"
"2025 Rookie Pick 5","Draft","Pick","53","53","38","38"
"Zay Flowers","WR","BAL","52","52","37","37"
"Saquon Barkley","RB","PHI","51","51","36","36"
"Tee Higgins","WR","CIN","50","49","33","34"
"Rome Odunze","WR","CHI","49","48","35","35"
"Jordan Addison","WR","MIN","48","47","33","33"
"DeVonta Smith","WR","PHI","47","46","32","33"
"Early 2026 1st","Draft","Pick","47","46","46","46"
"George Pickens","WR","PIT","46","45","31","31"
"Bucky Irving","RB","TB","46","46","30","31"
"Rashee Rice","WR","KC","45","44","28","29"
"Chris Olave","WR","NO","44","42","29","30"
"Jonathan Taylor","RB","IND","43","41","26","27"
"Jaylen Waddle","WR","MIA","42","41","28","28"
"Sam LaPorta","TE","DET","41","50","34","28"
"Josh Allen","QB","BUF","41","40","100","100"
"RJ Harvey","RB","DEN","40","39","27","27"
"2025 Rookie Pick 6","Draft","Pick","40","43","36","36"
"Emeka Egbuka","WR","TB","39","38","26","26"
"2025 Rookie Pick 7","Draft","Pick","39","39","28","29"
"Jameson Williams","WR","DET","38","38","26","26"
"Lamar Jackson","QB","BAL","38","37","97","97"
"Matthew Golden","WR","GB","37","36","23","24"
"2025 Rookie Pick 8","Draft","Pick","37","38","27","27"
"Jalen Hurts","QB","PHI","36","36","94","94"
"Chase Brown","RB","CIN","36","35","24","25"
"Jayden Daniels","QB","WAS","35","34","91","91"
"DK Metcalf","WR","PIT","34","34","25","26"
"Joe Burrow","QB","CIN","34","33","89","89"
"Kenneth Walker III","RB","SEA","33","31","23","23"
"Josh Jacobs","RB","GB","33","32","25","25"
"Brandon Aiyuk","WR","SF","32","30","22","23"
"James Cook","RB","BUF","31","30","22","23"
"Khalil Shakir","WR","BUF","31","29","21","22"
"Kaleb Johnson","RB","PIT","30","28","21","22"
"Quinshon Judkins","RB","CLE","30","29","22","22"
"2025 Rookie Pick 9","Draft","Pick","30","36","26","26"
"2025 Rookie Pick 10","Draft","Pick","30","33","26","23"
"C.J. Stroud","QB","HOU","29","28","77","77"
"Colston Loveland","TE","CHI","29","43","27","21"
"2025 Rookie Pick 11","Draft","Pick","29","29","23","22"
"Patrick Mahomes","QB","KC","28","27","86","86"
"Tyler Warren","TE","IND","28","33","23","19"
"2025 Rookie Pick 12","Draft","Pick","28","28","23","22"
"Jayden Reed","WR","GB","27","26","20","21"
"Drake Maye","QB","NE","27","27","82","82"
"DJ Moore","WR","CHI","26","26","20","21"
"Terry McLaurin","WR","WAS","26","26","20","20"
"Caleb Williams","QB","CHI","26","25","75","75"
"T.J. Hockenson","TE","MIN","25","31","21","16"
"Bo Nix","QB","DEN","25","25","73","73"
"Tyreek Hill","WR","MIA","24","24","17","17"
"Josh Downs","WR","IND","24","24","19","19"
"Derrick Henry","RB","BAL","24","24","19","19"
"Kyren Williams","RB","LAR","23","23","18","19"
"Jayden Higgins","WR","HOU","23","23","18","18"
"2025 Rookie Pick 13","Draft","Pick","23","23","21","21"
"Christian McCaffrey","RB","SF","22","22","17","17"
"Justin Herbert","QB","LAC","22","22","66","68"
"Jordan Love","QB","GB","22","22","59","60"
"Kyler Murray","QB","ARI","21","21","62","63"
"Ricky Pearsall","WR","SF","21","21","17","18"
"Bhayshul Tuten","RB","JAX","21","21","17","17"
"2025 Rookie Pick 14","Draft","Pick","21","21","21","18"
"2027 1st No 1","Draft","Pick","21","21","23","23"
"2027 1st No 2","Draft","Pick","21","21","23","23"
"2027 1st No 3","Draft","Pick","21","21","23","23"
"Luther Burden III","WR","CHI","20","20","16","17"
"Tre Harris","WR","LAC","20","20","16","16"
"Cam Skattebo","RB","NYG","20","20","16","16"
"2025 Rookie Pick 15","Draft","Pick","20","20","17","18"
"2025 Rookie Pick 16","Draft","Pick","20","20","17","17"
"2025 Rookie Pick 17","Draft","Pick","20","20","16","16"
"Trevor Lawrence","QB","JAX","19","19","57","58"
"Jerry Jeudy","WR","CLE","19","18","14","15"
"Brock Purdy","QB","SF","19","19","54","56"
"Kyle Williams","WR","NE","19","19","16","16"
"2025 Rookie Pick 18","Draft","Pick","19","19","16","16"
"Chris Godwin","WR","TB","18","17","14","15"
"J.J. McCarthy","QB","MIN","18","18","46","46"
"Tyrone Tracy Jr.","RB","NYG","18","17","15","15"
"Michael Pittman Jr.","WR","IND","17","17","15","15"
"Mike Evans","WR","TB","17","17","14","14"
"David Montgomery","RB","DET","17","16","14","14"
"Jauan Jennings","WR","SF","17","16","14","14"
"Mid 2026 1st","Draft","Pick","17","17","17","17"
"Davante Adams","WR","LAR","16","15","12","13"
"Brian Robinson Jr.","RB","WAS","16","16","13","14"
"Chuba Hubbard","RB","CAR","16","15","12","13"
"Michael Penix","QB","ATL","16","15","43","43"
"Jack Bech","WR","LVR","16","15","13","14"
"2025 Rookie Pick 19","Draft","Pick","16","15","16","16"
"2028 1st No 1","Draft","Pick","16","16","18","18"
"2028 1st No 2","Draft","Pick","16","16","18","18"
"2028 1st No 3","Draft","Pick","16","16","18","18"
"Jakobi Meyers","WR","LVR","15","14","12","12"
"Courtland Sutton","WR","DEN","15","14","12","12"
"Jarquez Hunter","RB","LAR","15","14","12","13"
"Jaylin Noel","WR","HOU","15","14","11","11"
"2025 Rookie Pick 20","Draft","Pick","15","14","16","16"
"2025 Rookie Pick 21","Draft","Pick","15","14","13","14"
"Tony Pollard","RB","TEN","14","13","11","11"
"Dalton Kincaid","TE","BUF","14","18","15","12"
"Joe Mixon","RB","HOU","14","14","11","12"
"Dak Prescott","QB","DAL","14","13","39","39"
"Isaiah Likely","TE","BAL","14","19","15","12"
"Tucker Kraft","TE","GB","14","16","14","12"
"Deebo Samuel","WR","WAS","13","13","11","11"
"Calvin Ridley","WR","TEN","13","12","10","10"
"Tyjae Spears","RB","TEN","13","13","11","12"
"Alvin Kamara","RB","NO","13","12","10","11"
"Trey Benson","RB","ARI","13","12","10","11"
"Terrance Ferguson","TE","LAR","13","16","13","11"
"2025 Rookie Pick 22","Draft","Pick","13","13","13","14"
"Isiah Pacheco","RB","KC","12","11","10","10"
"Rashid Shaheed","WR","NO","12","11","10","10"
"Keon Coleman","WR","BUF","12","11","10","10"
"Dylan Sampson","RB","CLE","12","12","10","10"
"Cam Ward","QB","TEN","12","12","38","38"
"Jaydon Blue","RB","DAL","12","11","10","11"
"2025 Rookie Pick 23","Draft","Pick","12","12","12","13"
"2025 Rookie Pick 24","Draft","Pick","12","12","12","13"
"Travis Etienne","RB","JAX","11","10","9","9"
"D'Andre Swift","RB","CHI","11","11","9","10"
"James Conner","RB","ARI","11","10","9","9"
"Cedric Tillman","WR","CLE","11","10","9","9"
"Bryce Young","QB","CAR","11","9","34","34"
"Jordan Mason","RB","MIN","11","10","9","10"
"Braelon Allen","RB","NYJ","11","11","9","10"
"Pat Bryant","WR","DEN","11","10","9","10"
"2025 Rookie Pick 25","Draft","Pick","11","12","11","11"
"Late 2026 1st","Draft","Pick","11","11","11","10"
"Stefon Diggs","WR","NE","10","9","8","9"
"Christian Watson","WR","GB","10","9","8","9"
"David Njoku","TE","CLE","10","14","12","9"
"George Kittle","TE","SF","10","13","11","9"
"Adonai Mitchell","WR","IND","10","9","8","9"
"Ray Davis","RB","BUF","10","9","8","8"
"Elijah Arroyo","TE","SEA","10","12","11","9"
"Harold Fannin Jr.","TE","CLE","10","13","10","9"
"2025 Rookie Pick 26","Draft","Pick","10","11","11","10"
"2025 Rookie Pick 27","Draft","Pick","10","11","10","10"
"Marvin Mims","WR","DEN","9","9","7","8"
"Joshua Palmer","WR","BUF","9","8","7","8"
"Jaylen Warren","RB","PIT","9","8","8","8"
"Tank Bigsby","RB","JAX","9","8","7","7"
"Darnell Mooney","WR","ATL","9","8","7","8"
"Blake Corum","RB","LAR","9","8","7","8"
"Xavier Legette","WR","CAR","9","8","7","7"
"Jalen McMillan","WR","TB","9","8","7","8"
"Isaac Guerendo","RB","SF","9","8","8","8"
"Devin Neal","RB","NO","9","9","8","8"
"Jordan James","RB","SF","9","9","8","8"
"2025 Rookie Pick 28","Draft","Pick","9","10","10","10"
"2025 Rookie Pick 29","Draft","Pick","9","9","10","9"
"2025 Rookie Pick 30","Draft","Pick","9","9","9","8"
"2027 2nd No 1","Draft","Pick","9","9","9","9"
"2027 2nd No 2","Draft","Pick","9","9","9","9"
"2027 2nd No 3","Draft","Pick","9","9","9","9"
"Marquise Brown","WR","KC","8","7","7","7"
"Mark Andrews","TE","BAL","8","10","9","7"
"Zach Charbonnet","RB","SEA","8","8","7","7"
"Brenton Strange","TE","JAX","8","11","9","7"
"Jaylen Wright","RB","MIA","8","7","6","7"
"Elic Ayomanor","WR","TEN","8","7","6","7"
"Ollie Gordon II","RB","MIA","8","8","7","8"
"Woody Marks","RB","HOU","8","7","7","7"
"Jalen Royals","WR","KC","8","7","7","7"
"Mason Taylor","TE","NYJ","8","11","9","8"
"Brashard Smith","RB","KC","8","7","7","7"
"Isaac TeSlaa","WR","DET","8","7","6","7"
"2025 Rookie Pick 31","Draft","Pick","8","8","9","8"
"2025 Rookie Pick 32","Draft","Pick","8","7","8","8"
"2025 Rookie Pick 33","Draft","Pick","8","7","8","8"
"2025 Rookie Pick 34","Draft","Pick","8","7","7","8"
"2025 Rookie Pick 35","Draft","Pick","8","7","7","7"
"Early 2026 2nd","Draft","Pick","8","8","8","8"
"Cooper Kupp","WR","SEA","7","6","6","6"
"Christian Kirk","WR","HOU","7","6","6","6"
"Kyle Pitts","TE","ATL","7","10","8","7"
"Romeo Doubs","WR","GB","7","7","6","6"
"Pat Freiermuth","TE","PIT","7","8","7","6"
"Najee Harris","RB","LAC","7","7","6","6"
"Aaron Jones","RB","MIN","7","7","6","7"
"Evan Engram","TE","DEN","7","9","8","7"
"Jake Ferguson","TE","DAL","7","10","8","7"
"Jared Goff","QB","DET","7","7","30","30"
"Cade Otton","TE","TB","7","9","8","6"
"Baker Mayfield","QB","TB","7","7","31","32"
"Jonnu Smith","TE","MIA","7","9","8","6"
"Jonathon Brooks","RB","CAR","7","6","6","6"
"MarShawn Lloyd","RB","GB","7","6","6","6"
"Savion Williams","WR","GB","7","7","6","6"
"Jaxson Dart","QB","NYG","7","7","29","29"
"2025 Rookie Pick 36","Draft","Pick","7","7","7","7"
"2025 Rookie Pick 37","Draft","Pick","7","7","7","7"
"2028 2nd No 1","Draft","Pick","7","7","7","8"
"2028 2nd No 2","Draft","Pick","7","7","7","8"
"2028 2nd No 3","Draft","Pick","7","7","7","8"
"Tank Dell","WR","HOU","6","6","6","6"
"Rachaad White","RB","TB","6","5","5","5"
"Javonte Williams","RB","DAL","6","6","6","6"
"Rhamondre Stevenson","RB","NE","6","6","6","6"
"Nick Chubb","RB","CLE","6","6","5","5"
"Travis Kelce","TE","KC","6","7","6","5"
"Quentin Johnston","WR","LAC","6","5","5","5"
"Dontayvion Wicks","WR","GB","6","6","5","6"
"Kendre Miller","RB","NO","6","5","5","5"
"Tua Tagovailoa","QB","MIA","6","5","24","24"
"Dallas Goedert","TE","PHI","6","8","7","6"
"Roschon Johnson","RB","CHI","6","5","5","5"
"Rashod Bateman","WR","BAL","6","6","6","6"
"Tyler Allgeier","RB","ATL","6","5","5","5"
"Rico Dowdle","RB","CAR","6","6","5","6"
"Troy Franklin","WR","DEN","6","6","6","6"
"Will Shipley","RB","PHI","6","5","5","5"
"Theo Johnson","TE","NYG","6","7","6","5"
"DJ Giddens","RB","IND","6","6","5","6"
"Tahj Brooks","RB","CIN","6","5","5","5"
"Trevor Etienne","RB","CAR","6","6","6","6"
"Kyle Monangai","RB","CHI","6","5","5","5"
"Tory Horton","WR","SEA","6","6","6","6"
"2025 Rookie Pick 38","Draft","Pick","6","6","6","7"
"2025 Rookie Pick 39","Draft","Pick","6","6","6","6"
"2025 Rookie Pick 40","Draft","Pick","6","6","6","6"
"2025 Rookie Pick 41","Draft","Pick","6","6","6","6"
"2025 Rookie Pick 42","Draft","Pick","6","5","5","6"
"Mid 2026 2nd","Draft","Pick","6","6","6","6"
"Anthony Richardson","QB","IND","5","4","16","16"
"Austin Ekeler","RB","WAS","5","5","5","5"
"Amari Cooper","WR","FA","5","4","4","4"
"DeAndre Hopkins","WR","BAL","5","5","4","5"
"Michael Mayer","TE","LVR","5","6","4","4"
"Luke Musgrave","TE","GB","5","6","5","4"
"Parker Washington","WR","JAX","5","5","5","5"
"Andrei Iosivas","WR","CIN","5","5","5","5"
"Dalton Schultz","TE","HOU","5","6","5","4"
"Elijah Moore","WR","CLE","5","5","4","5"
"Wan'Dale Robinson","WR","NYG","5","5","4","5"
"Chigoziem Okonkwo","TE","TEN","5","6","5","4"
"Calvin Austin III","WR","PIT","5","5","5","5"
"Noah Gray","TE","KC","5","6","5","4"
"Mike Gesicki","TE","CIN","5","6","5","5"
"Justin Fields","QB","NYJ","5","5","19","20"
"Sam Darnold","QB","SEA","5","4","19","20"
"Roman Wilson","WR","PIT","5","5","4","5"
"Ja'Tavion Sanders","TE","CAR","5","7","6","5"
"Audric Estime","RB","DEN","5","5","5","5"
"Luke McCaffrey","WR","WAS","5","4","4","4"
"Malik Washington","WR","MIA","5","4","4","4"
"Isaiah Davis","RB","NYJ","5","5","5","5"
"Jermaine Burton","WR","CIN","5","5","5","5"
"Ben Sinnott","TE","WAS","5","6","5","4"
"Oronde Gadsden II","TE","LAC","5","6","5","4"
"Tai Felton","WR","MIN","5","5","4","5"
"Phil Mafah","RB","DAL","5","5","5","5"
"Jaylin Lane","WR","WAS","5","5","5","5"
"Chimere Dike","WR","TEN","5","4","4","4"
"Arian Smith","WR","NYJ","5","4","4","4"
"Jalen Coker","WR","CAR","5","5","5","5"
"2025 Rookie Pick 43","Draft","Pick","5","5","5","5"
"2025 Rookie Pick 44","Draft","Pick","5","5","5","5"
"2025 Rookie Pick 45","Draft","Pick","5","5","5","5"
"2025 Rookie Pick 46","Draft","Pick","5","5","5","5"
"2025 Rookie Pick 47","Draft","Pick","5","5","5","5"
"2025 Rookie Pick 48","Draft","Pick","5","5","5","5"
"Late 2026 2nd","Draft","Pick","5","5","5","5"
"Early 2026 3rd","Draft","Pick","5","5","5","5"
"2027 3rd No 1","Draft","Pick","5","5","6","6"
"2028 3rd No 1","Draft","Pick","5","5","5","5"
"2027 3rd No 2","Draft","Pick","5","5","6","6"
"2028 3rd No 2","Draft","Pick","5","5","5","5"
"2027 3rd No 3","Draft","Pick","5","5","6","6"
"2028 3rd No 3","Draft","Pick","5","5","5","5"
"Ravens D/ST","D/ST","BAL","5","5","5","5"
"Bills D/ST","D/ST","BUF","5","5","5","5"
"Jets D/ST","D/ST","NYJ","5","5","5","5"
"Cowboys D/ST","D/ST","DAL","5","5","5","5"
"49ers D/ST","D/ST","SF","5","5","5","5"
"Saints D/ST","D/ST","NO","5","5","5","5"
"Diontae Johnson","WR","","4","4","4","4"
"Keenan Allen","WR","CHI","4","4","4","4"
"Tyler Lockett","WR","FA","4","3","3","3"
"Michael Wilson","WR","ARI","4","4","4","4"
"Demario Douglas","WR","NE","4","4","4","4"
"Alec Pierce","WR","IND","4","4","4","4"
"A.T. Perry","WR","NO","4","3","4","4"
"Tutu Atwell","WR","LAR","4","3","4","4"
"John Metchie","WR","HOU","4","3","3","3"
"Keaton Mitchell","RB","BAL","4","4","3","3"
"J.K. Dobbins","RB","LAC","4","4","4","4"
"Jaleel McLaughlin","RB","DEN","4","4","4","4"
"Jerome Ford","RB","CLE","4","4","4","4"
"Antonio Gibson","RB","NE","4","3","3","3"
"Tyler Scott","WR","","4","3","4","4"
"Tre Tucker","WR","LVR","4","4","4","4"
"Dameon Pierce","RB","HOU","4","3","4","4"
"Elijah Mitchell","RB","KC","4","4","4","4"
"Isaiah Spiller","RB","","4","3","4","4"
"Jeremy Ruckert","TE","NYJ","4","5","4","2"
"Darius Slayton","WR","NYG","4","4","4","4"
"Justice Hill","RB","BAL","4","3","3","3"
"Juwan Johnson","TE","NO","4","5","4","2"
"Kareem Hunt","RB","KC","4","3","3","3"
"Cole Kmet","TE","CHI","4","5","4","3"
"Tyler Higbee","TE","LAR","4","5","4","3"
"Kirk Cousins","QB","ATL","4","3","5","5"
"Xavier Hutchinson","WR","HOU","4","4","4","4"
"Daniel Jones","QB","IND","4","3","6","6"
"Trenton Irwin","WR","CIN","4","3","4","4"
"Sean Tucker","RB","TB","4","3","3","3"
"Kayshon Boutte","WR","NE","4","4","4","4"
"Hunter Henry","TE","NE","4","5","4","3"
"Geno Smith","QB","LVR","4","4","18","18"
"Matthew Stafford","QB","LAR","4","3","12","13"
"Zach Ertz","TE","WAS","4","4","4","2"
"Daniel Bellinger","TE","NYG","4","4","3","2"
"Aaron Rodgers","QB","FA","4","3","7","8"
"Terrace Marshall Jr.","WR","","4","3","4","4"
"Nick Westbrook-Ikhine","WR","MIA","4","3","3","3"
"Russell Wilson","QB","NYG","4","3","6","6"
"Rashaad Penny","RB","","4","3","4","4"
"Joe Flacco","QB","","4","3","4","4"
"Hendon Hooker","QB","DET","4","3","4","4"
"Drew Lock","QB","","4","3","4","4"
"Jameis Winston","QB","NYG","4","3","5","5"
"Malachi Corley","WR","NYJ","4","4","4","4"
"Ja'Lynn Polk","WR","NE","4","4","4","4"
"Jacob Cowing","WR","SF","4","3","3","3"
"Johnny Wilson","WR","PHI","4","3","3","3"
"Javon Baker","WR","NE","4","3","3","3"
"Cade Stover","TE","HOU","4","5","4","3"
"Brenden Rice","WR","","4","3","4","4"
"Kimani Vidal","RB","LAC","4","3","3","3"
"Ainias Smith","WR","PHI","4","4","4","4"
"Isaiah Bond","WR","FA","4","3","3","3"
"Damien Martinez","RB","SEA","4","4","4","4"
"Gunnar Helm","TE","TEN","4","5","4","3"
"Ricky White","WR","SEA","4","4","4","4"
"Ja'Corey Brooks","WR","","4","3","4","4"
"Jalen Milroe","QB","SEA","4","4","13","13"
"Kalel Mullings","RB","TEN","4","3","3","3"
"Tyler Shough","QB","NO","4","4","13","14"
"LeQuint Allen","RB","","4","4","4","4"
"KeAndre Lambert-Smith","WR","LAC","4","4","4","4"
"Dont'e Thornton","WR","","4","4","4","4"
"Mid 2026 3rd","Draft","Pick","4","4","4","4"
"Late 2026 3rd","Draft","Pick","4","4","4","4"
"Early 2026 4th","Draft","Pick","4","4","4","4"
"Mid 2026 4th","Draft","Pick","4","4","4","3"
"Late 2026 4th","Draft","Pick","4","3","3","3"
"Browns D/ST","D/ST","CLE","4","4","4","4"
"Dolphins D/ST","D/ST","MIA","4","4","4","4"
"Raiders D/ST","D/ST","LV","4","4","4","4"
"Colts D/ST","D/ST","IND","4","4","4","4"
"Bucs D/ST","D/ST","TB","4","4","4","4"
"Chiefs D/ST","D/ST","KC","4","4","4","4"
"Giants D/ST","D/ST","NYG","4","4","4","4"
"Texans D/ST","D/ST","HOU","4","4","4","4"
"Vikings D/ST","D/ST","MIN","4","4","4","4"
"Steelers D/ST","D/ST","PIT","4","4","4","4"
"Jaguars D/ST","D/ST","JAX","4","4","4","4"
"Bengals D/ST","D/ST","CIN","4","4","4","4"
"Packers D/ST","D/ST","GB","4","4","4","4"
"Bears D/ST","D/ST","CHI","4","4","4","4"
"Broncos D/ST","D/ST","DEN","4","4","4","4"
"Patriots D/ST","D/ST","NE","4","4","4","4"
"Chargers D/ST","D/ST","LAC","4","3","3","3"
"Lions D/ST","D/ST","DET","4","4","4","4"
"Seahawks D/ST","D/ST","SEA","4","4","4","4"
"Eagles D/ST","D/ST","PHI","4","4","4","3"
"Falcons D/ST","D/ST","ATL","4","3","3","3"
"Rams D/ST","D/ST","LAR","4","4","4","3"
"Panthers D/ST","D/ST","CAR","4","4","3","3"
"Cardinals D/ST","D/ST","ARI","4","4","3","3"
"Gabe Davis","WR","JAX","3","3","2","3"
"Jalin Hyatt","WR","NYG","3","3","2","3"
