"Player","Team","Pos","Matchup","Carries","Rush YDs","Rush TDs","Targets","Receptions","Rec Yds","Rec TDs","Pass Attempts","Passing YDs","Passing TDs","Interceptions","Y/A","Sacks","Fumbles Lost","Team Total"
"A.J. Brown","PHI","WR","@ KC","0.000","0.000","0.000","8.499","5.616","81.721","0.537","0.000","0.000","0.000","0.000","","0.000","0.029","23.50"
"Xavier Worthy","KC","WR","@ PHI","0.420","2.794","0.035","8.880","5.466","59.548","0.488","0.000","0.000","0.000","0.000","","0.000","0.031","25.00"
"DeVonta Smith","PHI","WR","@ KC","0.000","0.000","0.000","6.443","5.083","58.367","0.394","0.000","0.000","0.000","0.000","","0.000","0.026","23.50"
"Dallas Goedert","PHI","TE","@ KC","0.000","0.000","0.000","5.483","4.600","58.005","0.336","0.000","0.000","0.000","0.000","","0.000","0.024","23.50"
"Travis Kelce","KC","TE","@ PHI","0.053","0.256","0.004","9.061","6.442","57.979","0.536","0.000","0.000","0.000","0.000","","0.000","0.034","25.00"
"Marquise Brown","KC","WR","@ PHI","0.000","0.000","0.000","6.705","3.742","41.923","0.325","0.000","0.000","0.000","0.000","","0.000","0.019","25.00"
"DeAndre Hopkins","KC","WR","@ PHI","0.000","0.000","0.000","3.081","2.044","21.631","0.182","0.000","0.000","0.000","0.000","","0.000","0.011","25.00"
"JuJu Smith-Schuster","KC","WR","@ PHI","0.000","0.000","0.000","2.446","1.600","20.728","0.077","0.000","0.000","0.000","0.000","","0.000","0.008","25.00"
"Saquon Barkley","PHI","RB","@ KC","18.694","110.295","0.674","2.879","2.267","16.796","0.193","0.000","0.000","0.000","0.000","","0.000","0.115","23.50"
"Noah Gray","KC","TE","@ PHI","0.000","0.000","0.000","1.812","1.465","14.628","0.096","0.000","0.000","0.000","0.000","","0.000","0.008","25.00"
"Jahan Dotson","PHI","WR","@ KC","0.000","0.000","0.000","1.645","0.938","10.005","0.067","0.000","0.000","0.000","0.000","","0.000","0.005","23.50"
"Samaje Perine","KC","RB","@ PHI","0.420","1.892","0.009","1.269","0.991","8.215","0.067","0.000","0.000","0.000","0.000","","0.000","0.007","25.00"
"Grant Calcaterra","PHI","TE","@ KC","0.000","0.000","0.000","0.754","0.611","7.585","0.034","0.000","0.000","0.000","0.000","","0.000","0.003","23.50"
"Kenneth Gainwell","PHI","RB","@ KC","1.542","6.119","0.038","1.371","1.021","7.128","0.092","0.000","0.000","0.000","0.000","","0.000","0.014","23.50"
"Kareem Hunt","KC","RB","@ PHI","11.351","41.136","0.497","1.269","0.928","5.387","0.067","0.000","0.000","0.000","0.000","","0.000","0.067","25.00"
"Isiah Pacheco","KC","RB","@ PHI","6.726","24.419","0.221","1.450","1.060","5.139","0.067","0.000","0.000","0.000","0.000","","0.000","0.043","25.00"
