"Player Name","Team","Pos","Games","PPR","HPPR","Std","1.5 TE","6 Pt Pass","DK"
"Josh Allen","BUF","QB","1","23.42","23.42","23.42","23.42","27.34","23.42"
"Jayden Daniels","WAS","QB","1","22.77","22.77","22.77","22.77","26.40","22.77"
"Lamar Jackson","BAL","QB","1","22.38","22.38","22.38","22.38","26.27","22.38"
"Christian McCaffrey","SF","RB","1","25.32","22.17","19.30","25.32","25.32","25.32"
"Jalen Hurts","PHI","QB","1","21.48","21.48","21.48","21.48","24.58","21.48"
"Patrick Mahomes","KC","QB","1","20.78","20.78","20.78","20.78","24.67","20.78"
"Drake Maye","NE","QB","1","20.40","20.32","20.24","20.40","23.76","20.40"
"Baker Mayfield","TB","QB","1","20.08","20.08","20.08","20.08","24.54","20.08"
"Jonathan Taylor","IND","RB","1","20.98","20.00","19.04","20.98","20.98","20.98"
"Justin Herbert","LAC","QB","1","19.66","19.66","19.66","19.66","22.98","19.66"
"Puka Nacua","LA","WR","1","23.57","19.34","15.70","23.57","23.57","23.57"
"Dak Prescott","DAL","QB","1","19.27","19.27","19.27","19.27","23.32","19.27"
"Caleb Williams","CHI","QB","1","18.92","18.92","18.92","18.92","22.22","18.92"
"Bijan Robinson","ATL","RB","1","20.89","18.88","17.01","20.89","20.89","20.89"
"Justin Fields","NYJ","QB","1","18.69","18.69","18.69","18.69","21.11","18.69"
"Jordan Love","GB","QB","1","18.27","18.27","18.27","18.27","22.07","18.27"
"Amon-Ra St. Brown","DET","WR","1","22.00","17.86","14.37","22.00","22.00","22.00"
"Jahmyr Gibbs","DET","RB","1","19.60","17.85","16.22","19.60","19.60","19.60"
"Brock Purdy","SF","QB","1","17.73","17.73","17.73","17.73","20.73","17.73"
"Daniel Jones","IND","QB","1","17.56","17.56","17.56","17.56","20.34","17.56"
"Jaxson Dart","NYG","QB","1","17.20","17.20","17.20","17.20","20.09","17.20"
"Josh Jacobs","GB","RB","1","18.30","17.03","15.83","18.30","18.30","18.30"
"Kyler Murray","ARI","QB","1","17.00","17.00","17.00","17.00","19.58","17.00"
"Bo Nix","DEN","QB","1","16.71","16.71","16.71","16.71","19.80","16.71"
"Jaxon Smith-Njigba","SEA","WR","1","20.59","16.67","13.37","20.59","20.59","20.59"
"Jared Goff","DET","QB","1","16.43","16.43","16.43","16.43","19.90","16.43"
"Matthew Stafford","LA","QB","1","16.26","16.26","16.26","16.26","19.50","16.26"
"De'Von Achane","MIA","RB","1","18.64","16.20","14.02","18.64","18.64","18.64"
"CeeDee Lamb","DAL","WR","1","19.75","16.17","13.08","19.75","19.75","19.75"
"Trevor Lawrence","JAX","QB","1","15.94","15.94","15.94","15.94","18.72","15.94"
"James Cook","BUF","RB","1","16.98","15.74","14.58","16.98","16.98","16.98"
"C.J. Stroud","HOU","QB","1","15.59","15.59","15.59","15.59","18.21","15.59"
"Justin Jefferson","MIN","WR","1","18.59","15.57","12.95","18.59","18.59","18.59"
"Sam Darnold","SEA","QB","1","15.31","15.31","15.31","15.31","18.13","15.31"
"Ja'Marr Chase","CIN","WR","1","18.04","14.94","12.24","18.04","18.04","18.04"
"Michael Penix Jr.","ATL","QB","1","14.93","14.93","14.93","14.93","17.78","14.93"
"Ashton Jeanty","LV","RB","1","16.19","14.85","13.61","16.19","16.19","16.19"
"Davante Adams","LA","WR","1","17.61","14.57","12.01","17.61","17.61","17.61"
"Saquon Barkley","PHI","RB","1","15.45","14.51","13.60","15.45","15.45","15.45"
"Joe Flacco","CIN","QB","1","14.32","14.32","14.32","14.32","17.00","14.32"
"Nico Collins","HOU","WR","1","16.99","14.24","11.88","16.99","16.99","16.99"
"Derrick Henry","BAL","RB","1","14.62","14.15","13.70","14.62","14.62","14.62"
"Rome Odunze","CHI","WR","1","16.93","14.05","11.59","16.93","16.93","16.93"
"Bryce Young","CAR","QB","1","14.02","14.02","14.02","14.02","16.33","14.02"
"Trey McBride","ARI","TE","1","17.70","13.99","10.95","19.56","17.70","17.70"
"Kyren Williams","LA","RB","1","14.84","13.82","12.84","14.84","14.84","14.84"
"Drake London","ATL","WR","1","16.73","13.70","11.11","16.73","16.73","16.73"
"J.J. McCarthy","MIN","QB","1","13.69","13.69","13.69","13.69","16.64","13.69"
"Bucky Irving","TB","RB","1","15.04","13.50","12.05","15.04","15.04","15.04"
"Rashee Rice","KC","WR","1","15.91","13.40","11.37","15.91","15.91","15.91"
"Garrett Wilson","NYJ","WR","1","16.23","13.23","10.68","16.23","16.23","16.23"
"Javonte Williams","DAL","RB","1","14.74","13.22","11.81","14.74","14.74","14.74"
"Tetairoa McMillan","CAR","WR","1","15.81","13.08","10.76","15.81","15.81","15.81"
"Tua Tagovailoa","MIA","QB","1","13.03","13.03","13.03","13.03","15.81","13.03"
"Emeka Egbuka","TB","WR","1","15.48","12.89","10.67","15.48","15.48","15.48"
"Cam Skattebo","NYG","RB","1","14.61","12.86","11.28","14.61","14.61","14.61"
"Tyler Warren","IND","TE","1","15.92","12.80","10.22","17.49","15.92","15.92"
"Courtland Sutton","DEN","WR","1","15.27","12.71","10.51","15.27","15.27","15.27"
"Breece Hall","NYJ","RB","1","14.14","12.65","11.29","14.14","14.14","14.14"
"Brian Thomas Jr.","JAX","WR","1","14.95","12.52","10.43","14.95","14.95","14.95"
"Jaylen Waddle","MIA","WR","1","14.93","12.33","10.10","14.93","14.93","14.93"
"Aaron Rodgers","PIT","QB","1","12.32","12.32","12.32","12.32","14.86","12.32"
"George Pickens","DAL","WR","1","14.62","12.20","10.08","14.62","14.62","14.62"
"Travis Etienne","JAX","RB","1","13.19","12.14","11.15","13.19","13.19","13.19"
"Spencer Rattler","NO","QB","1","12.20","12.12","12.04","12.20","14.53","12.20"
"A.J. Brown","PHI","WR","1","14.21","11.91","9.92","14.21","14.21","14.21"
"Brock Bowers","LV","TE","1","14.88","11.88","9.41","16.39","14.88","14.88"
"Geno Smith","LV","QB","1","11.74","11.74","11.74","11.74","13.84","11.74"
"Quentin Johnston","LAC","WR","1","14.23","11.73","9.58","14.23","14.23","14.23"
"Quinshon Judkins","CLE","RB","1","12.60","11.65","10.75","12.60","12.60","12.60"
"Stefon Diggs","NE","WR","1","14.32","11.56","9.23","14.32","14.32","14.32"
"Kenneth Walker III","SEA","RB","1","12.51","11.45","10.48","12.51","12.51","12.51"
"Cam Ward","TEN","QB","1","11.41","11.41","11.41","11.41","13.47","11.41"
"Deebo Samuel Sr.","WAS","WR","1","13.67","11.39","9.37","13.67","13.67","13.67"
"Zay Flowers","BAL","WR","1","13.86","11.32","9.13","13.86","13.86","13.86"
"Ladd McConkey","LAC","WR","1","13.75","11.26","9.14","13.75","13.75","13.75"
"Russell Wilson","NYG","QB","1","11.21","11.21","11.21","11.21","13.10","11.21"
"Omarion Hampton","LAC","RB","1","12.29","11.20","10.16","12.29","12.29","12.29"
"Jake Browning","CIN","QB","1","11.17","11.17","11.17","11.17","13.59","11.17"
"DK Metcalf","PIT","WR","1","13.28","11.11","9.24","13.28","13.28","13.28"
"J.K. Dobbins","DEN","RB","1","12.00","11.03","10.14","12.00","12.00","12.00"
"George Kittle","SF","TE","1","13.25","10.98","9.04","14.39","13.25","13.25"
"Ricky Pearsall","SF","WR","1","13.41","10.98","8.90","13.41","13.41","13.41"
"Mike Evans","TB","WR","1","12.82","10.81","9.04","12.82","12.82","12.82"
"Jacory Croskey-Merritt","WAS","RB","1","11.50","10.67","9.90","11.50","11.50","11.50"
"Keenan Allen","LAC","WR","1","13.31","10.66","8.43","13.31","13.31","13.31"
"Anthony Richardson","IND","QB","1","10.86","10.61","10.36","10.86","12.41","10.86"
"Michael Pittman","IND","WR","1","13.16","10.60","8.45","13.16","13.16","13.16"
"Joe Burrow","CIN","QB","1","10.56","10.56","10.56","10.56","13.00","10.56"
"Marvin Harrison Jr.","ARI","WR","1","12.49","10.45","8.69","12.49","12.49","12.49"
"Chase Brown","CIN","RB","1","11.57","10.44","9.38","11.57","11.57","11.57"
"Jake Ferguson","DAL","TE","1","13.38","10.39","7.88","14.88","13.38","13.38"
"Tyler Shough","NO","QB","1","10.31","10.31","10.31","10.31","12.13","10.31"
"Xavier Worthy","KC","WR","1","12.22","10.28","8.60","12.22","12.22","12.22"
"David Montgomery","DET","RB","1","10.93","10.23","9.56","10.93","10.93","10.93"
"Jaylen Warren","PIT","RB","1","11.51","10.01","8.66","11.51","11.51","11.51"
"Chris Olave","NO","WR","1","12.43","9.99","7.88","12.43","12.43","12.43"
"Tucker Kraft","GB","TE","1","12.02","9.90","8.10","13.08","12.02","12.02"
"Jordan Mason","MIN","RB","1","10.57","9.81","9.09","10.57","10.57","10.57"
"Jordan Addison","MIN","WR","1","11.85","9.79","8.01","11.85","11.85","11.85"
"Terry McLaurin","WAS","WR","1","11.48","9.58","7.95","11.48","11.48","11.48"
"Dallas Goedert","PHI","TE","1","11.97","9.56","7.54","13.18","11.97","11.97"
"D'Andre Swift","CHI","RB","1","10.86","9.50","8.27","10.86","10.86","10.86"
"DeVonta Smith","PHI","WR","1","11.65","9.48","7.62","11.65","11.65","11.65"
"Jameson Williams","DET","WR","1","10.92","9.37","8.01","10.92","10.92","10.92"
"Rico Dowdle","CAR","RB","1","10.51","9.34","8.28","10.51","10.51","10.51"
"Tee Higgins","CIN","WR","1","10.98","9.26","7.77","10.98","10.98","10.98"
"Jakobi Meyers","LV","WR","1","11.34","9.07","7.15","11.34","11.34","11.34"
"Alvin Kamara","NO","RB","1","10.50","9.05","7.74","10.50","10.50","10.50"
"DJ Moore","CHI","WR","1","11.00","9.00","7.29","11.00","11.00","11.00"
"Sam LaPorta","DET","TE","1","11.01","8.97","7.22","12.04","11.01","11.01"
"Woody Marks","HOU","RB","1","10.08","8.92","7.89","10.08","10.08","10.08"
"Matthew Golden","GB","WR","1","10.65","8.91","7.42","10.65","10.65","10.65"
"Darren Waller","MIA","TE","1","10.88","8.79","7.05","11.93","10.88","10.88"
"Wan'Dale Robinson","NYG","WR","1","11.33","8.74","6.64","11.33","11.33","11.33"
"Rhamondre Stevenson","NE","RB","1","9.57","8.72","7.92","9.57","9.57","9.57"
"Jauan Jennings","SF","WR","1","10.48","8.64","7.10","10.48","10.48","10.48"
"Hunter Henry","NE","TE","1","10.70","8.58","6.83","11.76","10.70","10.70"
"Trey Benson","ARI","RB","1","9.41","8.55","7.73","9.41","9.41","9.41"
"Travis Hunter","JAX","WR","1","10.29","8.47","6.92","10.29","10.29","10.29"
"Romeo Doubs","GB","WR","1","10.18","8.36","6.80","10.18","10.18","10.18"
"Aaron Jones","MIN","RB","1","9.19","8.29","7.46","9.19","9.19","9.19"
"Dalton Kincaid","BUF","TE","1","10.29","8.17","6.41","11.35","10.29","10.29"
"Khalil Shakir","BUF","WR","1","10.12","8.17","6.50","10.12","10.12","10.12"
"TreVeyon Henderson","NE","RB","1","9.00","8.01","7.09","9.00","9.00","9.00"
